year,month,day,hour,sim_flow_cfs,flow_cfs
1985,1,15,12,66.62934290325697,NA
1985,1,15,18,66.582707314163045,NA
1985,1,16,0,66.67933141030727,NA
1985,1,16,6,66.63312476821105,NA
1985,1,16,12,66.5875557147452,NA
1985,1,16,18,66.5423701554263,NA
1985,1,17,0,66.84003236950926,NA
1985,1,17,6,66.79509301050574,NA
1985,1,17,12,66.75077552052562,NA
1985,1,17,18,66.70681764568711,NA
1985,1,18,0,67.00475342825953,NA
1985,1,18,6,66.96101513522228,NA
1985,1,18,12,66.9178680351139,NA
1985,1,18,18,66.87506447531788,NA
1985,1,19,0,67.17322829918992,NA
1985,1,19,6,67.13061803247145,NA
1985,1,19,12,67.08858787009869,NA
1985,1,19,18,67.04689042509493,NA
1985,1,20,0,67.34525108468088,NA
1985,1,20,6,67.30371143089182,NA
1985,1,20,12,67.26273187220323,NA
1985,1,20,18,67.22205172594596,NA
1985,1,21,0,67.52058198459909,NA
1985,1,21,6,67.48004795925652,NA
1985,1,21,12,67.44006790080243,NA
1985,1,21,18,67.4003748343377,NA
1985,1,22,0,67.6990347520052,NA
1985,1,22,6,67.65944523276657,NA
1985,1,22,12,67.6204032554978,NA
1985,1,22,18,67.58164362881176,NA
1985,1,23,0,67.88039789635283,NA
1985,1,23,6,67.84171727706055,NA
1985,1,23,12,67.80355648508854,NA
1985,1,23,18,67.7656615329618,NA
1985,1,24,0,68.0644973119268,NA
1985,1,24,6,68.02667258956805,NA
1985,1,24,12,67.9893547856719,NA
1985,1,24,18,67.95229264508545,NA
1985,1,25,0,68.25117581619077,NA
1985,1,25,6,68.21416374422981,NA
1985,1,25,12,68.17763623943026,NA
1985,1,25,18,68.14134735086054,NA
1985,1,26,0,68.44026919815256,NA
1985,1,26,6,68.40401248260348,NA
1985,1,26,12,68.36824631278496,NA
1985,1,26,18,68.33270322447696,NA
1985,1,27,0,68.63161828089434,NA
1985,1,27,6,68.59609280562485,NA
1985,1,27,12,68.56104028671156,NA
1985,1,27,18,68.52619854791509,NA
1985,1,28,0,68.82510258071763,NA
1985,1,28,6,68.7902588664474,NA
1985,1,28,12,68.75588296285957,NA
1985,1,28,18,68.7217067848214,NA
1985,1,29,0,69.02057573308771,NA
1985,1,29,6,68.98637599018559,NA
1985,1,29,12,68.95263274476625,NA
1985,1,29,18,68.91909995259319,NA
1985,1,30,0,69.21790645602283,NA
1985,1,30,6,69.18432959048845,NA
1985,1,30,12,69.15119723561702,NA
1985,1,30,18,69.11825737910353,NA
1985,1,31,0,69.41700284678737,NA
1985,1,31,6,69.38401157647529,NA
1985,1,31,12,69.35145755890358,NA
1985,1,31,18,69.31907237515397,NA
1985,2,1,0,69.61773540897403,NA
1985,2,1,6,69.58530124545291,NA
1985,2,1,12,69.55328578697372,NA
1985,2,1,18,69.52144331609964,NA
1985,2,2,0,69.82000602135955,NA
1985,2,2,6,69.78808853717533,NA
1985,2,2,12,69.7565898672619,NA
1985,2,2,18,69.72526041573686,NA
1985,2,3,0,70.02370075475496,NA
1985,2,3,6,69.99228494210705,NA
1985,2,3,12,69.96128122318736,NA
1985,2,3,18,69.93043746727591,NA
1985,2,4,0,70.22875509071942,NA
1985,2,4,6,70.19780830686221,NA
1985,2,4,12,70.16726978640794,NA
1985,2,4,18,70.1368820838317,NA
1985,2,5,0,70.43505178108627,NA
1985,2,5,6,70.40454988766106,NA
1985,2,5,12,70.37445195476771,NA
1985,2,5,18,70.34449942461812,NA
1985,2,6,0,70.64252085858014,NA
1985,2,6,6,70.6124473997951,NA
1985,2,6,12,70.5827667164543,NA
1985,2,6,18,70.5532353463508,NA
1985,2,7,0,70.85108357080058,NA
1985,2,7,6,70.82141492932965,NA
1985,2,7,12,70.79213641028642,NA
1985,2,7,18,70.76298190718146,NA
1985,2,8,0,71.06067381643591,NA
1985,2,8,6,71.0313739995454,NA
1985,2,8,12,71.00247329905159,NA
1985,2,8,18,70.97369377207045,NA
1985,2,9,0,71.27119397665398,NA
1985,2,9,6,71.24227212918936,NA
1985,2,9,12,71.21371814081293,NA
1985,2,9,18,71.18530242351916,NA
1985,2,10,0,71.48259609160797,NA
1985,2,10,6,71.45402122228636,NA
1985,2,10,12,71.42581820591467,NA
1985,2,10,18,71.39771666521486,NA
1985,2,11,0,71.694826868531493,NA
1985,2,11,6,71.66656455719347,NA
1985,2,11,12,71.6386769147914,NA
1985,2,11,18,71.61089954869992,NA
1985,2,12,0,71.90778757391438,NA
1985,2,12,6,71.87984516516768,NA
1985,2,12,12,71.85225297584405,NA
1985,2,12,18,73.2065915343402,NA
1985,2,13,0,79.88364473490027,NA
1985,2,13,6,83.15418099858864,NA
1985,2,13,12,82.31520665730703,NA
1985,2,13,18,83.20199850313557,NA
1985,2,14,0,89.99261205693944,NA
1985,2,14,6,92.11961713235952,NA
