year,month,day,hour,map_mm,mat_degc,ptps
1979,12,5,0,0,-0.944,0.925
1979,12,5,6,0,-2.046,1
1979,12,5,12,0,-0.306,1
1979,12,5,18,0,-0.741,0.953333333333333
1979,12,6,0,0,-2.926,1
1979,12,6,6,0,0.398,0.583333333333333
1979,12,6,12,0,3,0.158333333333333
1979,12,6,18,0,-0.231,0.685
1979,12,7,0,0,-2.935,0.998333333333333
1979,12,7,6,0,1.157,0.478333333333333
1979,12,7,12,0,3.056,0.238333333333333
1979,12,7,18,0,-1,0.996666666666667
1979,12,8,0,0,-0.38,0.92
1979,12,8,6,0,1.917,0.345
1979,12,8,12,0,2.741,0.315
1979,12,8,18,0,-0.324,0.971666666666667
1979,12,9,0,0,-0.972,1
1979,12,9,6,0,1.296,0.663333333333333
1979,12,9,12,0,3.583,0.293333333333333
1979,12,9,18,0,1.694,0.845
1979,12,10,0,0.0508,1.139,0.996666666666667
1979,12,10,6,0,0.315,0.998333333333333
1979,12,10,12,0,-3.509,1
1979,12,10,18,0,-8.194,1
1979,12,11,0,0,-10.139,1
1979,12,11,6,0,-9.981,1
1979,12,11,12,0,-4.444,1
1979,12,11,18,0,-9.426,1
1979,12,12,0,0,-11.676,1
1979,12,12,6,0,-6.963,1
1979,12,12,12,0,-2.5,1
1979,12,12,18,0,-7.278,1
1979,12,13,0,0,-9.954,1
1979,12,13,6,0,-6.361,1
1979,12,13,12,0,0.62,0.993333333333333
1979,12,13,18,0,-3.611,1
1979,12,14,0,0,-7.889,1
1979,12,14,6,0,-2.852,0.966666666666667
1979,12,14,12,0,1.917,0.801666666666667
1979,12,14,18,0,-1.704,1
1979,12,15,0,0,-5.296,1
1979,12,15,6,0,-1.324,0.943333333333333
1979,12,15,12,0,2.63,0.65
1979,12,15,18,0,-4.843,1
1979,12,16,0,0,-5.88,1
1979,12,16,6,0,-1.296,0.768333333333333
1979,12,16,12,0,4.611,0.501666666666667
1979,12,16,18,0,-4.315,1
1979,12,17,0,0,-5.806,1
1979,12,17,6,0,1.074,0.746666666666667
1979,12,17,12,0,6.111,0.483333333333333
1979,12,17,18,0,-2.324,1
1979,12,18,0,0,-2.704,1
1979,12,18,6,0,1.231,0.745
1979,12,18,12,0,5.176,0.485
1979,12,18,18,0,0.12,1
1979,12,19,0,0,-0.315,1
1979,12,19,6,0,1.676,0.901666666666667
1979,12,19,12,0,3.287,0.776666666666667
1979,12,19,18,0,-0.13,1
1979,12,20,0,0.0254,-0.556,1
1979,12,20,6,0.0254,0.556,0.888333333333333
1979,12,20,12,0.0762,1.565,0.761666666666667
1979,12,20,18,0,-1.194,1
1979,12,21,0,1.2954,-1.093,1
1979,12,21,6,0.9906,-0.63,1
1979,12,21,12,0.3302,0.222,0.998333333333333
1979,12,21,18,0,-2.269,1
1979,12,22,0,0.3048,-4.231,1
1979,12,22,6,0,-4.083,1
1979,12,22,12,0,-3.074,1
1979,12,22,18,0,-7.88,1
1979,12,23,0,0,-11.62,1
1979,12,23,6,0,-9.556,1
1979,12,23,12,0.0762,-1.463,1
1979,12,23,18,0.4826,-4.093,1
1979,12,24,0,0.762,-3.787,1
1979,12,24,6,0.0254,-1.574,0.95
1979,12,24,12,0.1524,1.509,0.686666666666667
1979,12,24,18,0.0508,0.296,0.986666666666667
1979,12,25,0,0.0762,-1.685,1
1979,12,25,6,0,-2.269,1
1979,12,25,12,0,-1.102,1
1979,12,25,18,0,-3.491,1
1979,12,26,0,0,-4.713,1
1979,12,26,6,0,-4.463,1
1979,12,26,12,0,-2.972,1
1979,12,26,18,0,-5.926,1
1979,12,27,0,0,-7.648,1
1979,12,27,6,0,-6.694,1
1979,12,27,12,0,-3.333,1
1979,12,27,18,0,-7.028,1
1979,12,28,0,0,-10.324,1
1979,12,28,6,0,-7.528,1
1979,12,28,12,0,-1.324,1
1979,12,28,18,0,-6.63,1
1979,12,29,0,0,-9.213,1
1979,12,29,6,0,-6.028,1
1979,12,29,12,0,-1.213,1
1979,12,29,18,0,-4.537,1
1979,12,30,0,0,-6.176,1
1979,12,30,6,0,-5.333,1
1979,12,30,12,0.0254,-1.694,1
1979,12,30,18,0,-3.565,1
1979,12,31,0,0,-4.611,1
1979,12,31,6,0.7366,-2.343,1
1979,12,31,12,1.4478,-0.648,0.996666666666667
1979,12,31,18,0.381,-2.306,1
1980,1,1,0,0.2032,-2.954,1
1980,1,1,6,0,-2.407,1
1980,1,1,12,0,-0.898,0.998333333333333
1980,1,1,18,0,-2.731,1
1980,1,2,0,0.0508,-3.444,1
1980,1,2,6,0.2794,-2.602,1
1980,1,2,12,0,0.231,0.996666666666667
1980,1,2,18,0,-1.806,1
1980,1,3,0,0,-2.463,1
1980,1,3,6,0,-0.241,0.995
1980,1,3,12,0,2.157,0.823333333333333
1980,1,3,18,0,-2.13,1
1980,1,4,0,0,-3.343,1
1980,1,4,6,0.0254,-1.231,0.971666666666667
1980,1,4,12,0,3.093,0.823333333333333
1980,1,4,18,0,0.176,1
