year,month,day,hour,flow_cfs,Source
1990,1,27,6,45.4,USGS_13105000
1990,1,27,12,52.4,USGS_13105000
1990,1,27,18,63,USGS_13105000
1990,1,28,0,54.9,USGS_13105000
1990,1,28,6,54.9,USGS_13105000
1990,1,28,12,59.3,USGS_13105000
1990,1,28,18,63.9,USGS_13105000
1990,1,29,0,53.2,USGS_13105000
1990,1,29,6,61.1,USGS_13105000
1990,1,29,12,60.2,USGS_13105000
1990,1,29,18,63.9,USGS_13105000
1990,1,30,0,62,USGS_13105000
1990,1,30,6,60.2,USGS_13105000
1990,1,30,12,61.1,USGS_13105000
1990,1,30,18,63,USGS_13105000
1990,1,31,0,59.3,USGS_13105000
1990,1,31,6,57.5,USGS_13105000
1990,1,31,12,65.8,USGS_13105000
1990,1,31,18,66.8,USGS_13105000
1990,2,1,0,63,USGS_13105000
1990,2,1,6,62,USGS_13105000
1990,2,1,12,63,USGS_13105000
1990,2,1,18,63,USGS_13105000
1990,2,2,0,60.2,USGS_13105000
1990,2,2,6,58.4,USGS_13105000
1990,2,2,12,68.8,USGS_13105000
1990,2,2,18,66.8,USGS_13105000
1990,2,3,0,61.1,USGS_13105000
1990,2,3,6,54.1,USGS_13105000
1990,2,3,12,74.9,USGS_13105000
1990,2,3,18,64.9,USGS_13105000
1990,2,4,0,54.9,USGS_13105000
1990,2,4,6,55.8,USGS_13105000
1990,2,4,12,62,USGS_13105000
1990,2,4,18,57.5,USGS_13105000
1990,2,5,0,50,USGS_13105000
1990,2,5,6,51.6,USGS_13105000
1990,2,5,12,77.1,USGS_13105000
1990,2,5,18,57.5,USGS_13105000
1990,2,6,0,49.2,USGS_13105000
1990,2,6,6,54.9,USGS_13105000
1990,2,6,12,59.3,USGS_13105000
1990,2,6,18,57.5,USGS_13105000
1990,2,7,0,55.8,USGS_13105000
1990,2,7,6,62,USGS_13105000
1990,2,7,12,61.1,USGS_13105000
1990,2,7,18,62,USGS_13105000
1990,2,8,0,52.4,USGS_13105000
1990,2,8,6,45.4,USGS_13105000
1990,2,8,12,60.2,USGS_13105000
1990,2,8,18,59.3,USGS_13105000
1990,2,9,0,42.5,USGS_13105000
1990,2,9,6,61.1,USGS_13105000
1990,2,9,12,58.4,USGS_13105000
1990,2,9,18,59.3,USGS_13105000
1990,2,10,0,60.2,USGS_13105000
1990,2,10,6,66.8,USGS_13105000
1990,2,10,12,62,USGS_13105000
1990,2,10,18,66.8,USGS_13105000
1990,2,11,0,67.8,USGS_13105000
1990,2,11,6,63,USGS_13105000
1990,2,11,12,66.8,USGS_13105000
1990,2,11,18,72.8,USGS_13105000
1990,2,12,0,72.8,USGS_13105000
1990,2,12,6,70.8,USGS_13105000
1990,2,12,12,67.8,USGS_13105000
1990,2,12,18,66.8,USGS_13105000
1990,2,13,0,61.1,USGS_13105000
1990,2,13,6,54.1,USGS_13105000
1990,2,13,12,58.4,USGS_13105000
1990,2,13,18,63,USGS_13105000
1990,2,14,0,72.8,USGS_13105000
1990,2,14,6,43.2,USGS_13105000
1990,2,14,12,36.4,USGS_13105000
1990,2,14,18,43.9,USGS_13105000
1990,2,15,0,34.5,USGS_13105000
1990,2,15,6,37,USGS_13105000
1990,2,15,12,46.1,USGS_13105000
1990,2,15,18,55.8,USGS_13105000
1990,2,16,0,46.9,USGS_13105000
1990,2,16,6,54.9,USGS_13105000
1990,2,16,12,58.4,USGS_13105000
1990,2,16,18,64.9,USGS_13105000
1990,2,17,0,58.4,USGS_13105000
1990,2,17,6,57.5,USGS_13105000
1990,2,17,12,60.2,USGS_13105000
1990,2,17,18,60.2,USGS_13105000
1990,2,18,0,57.5,USGS_13105000
1990,2,18,6,56.7,USGS_13105000
1990,2,18,12,61.1,USGS_13105000
1990,2,18,18,69.8,USGS_13105000
1990,2,19,0,60.2,USGS_13105000
1990,2,19,6,49.2,USGS_13105000
1990,2,19,12,73.9,USGS_13105000
1990,2,19,18,78.2,USGS_13105000
1990,2,20,0,53.2,USGS_13105000
1990,2,20,6,51.6,USGS_13105000
1990,2,20,12,54.9,USGS_13105000
1990,2,20,18,73.9,USGS_13105000
1990,2,21,0,54.9,USGS_13105000
1990,2,21,6,66.8,USGS_13105000
1990,2,21,12,59.3,USGS_13105000
1990,2,21,18,61.1,USGS_13105000
1990,2,22,0,65.8,USGS_13105000
1990,2,22,6,56.7,USGS_13105000
1990,2,22,12,60.2,USGS_13105000
1990,2,22,18,69.8,USGS_13105000
1990,2,23,0,70.8,USGS_13105000
1990,2,23,6,57.5,USGS_13105000
1990,2,23,12,68.8,USGS_13105000
1990,2,23,18,77.1,USGS_13105000
1990,2,24,0,77.1,USGS_13105000
1990,2,24,6,63.9,USGS_13105000
1990,2,24,12,66.8,USGS_13105000
1990,2,24,18,76,USGS_13105000
1990,2,25,0,86,USGS_13105000
1990,2,25,6,72.8,USGS_13105000
1990,2,25,12,74.9,USGS_13105000
1990,2,25,18,73.9,USGS_13105000
1990,2,26,0,89.6,USGS_13105000
1990,2,26,6,78.2,USGS_13105000
1990,2,26,12,73.9,USGS_13105000
1990,2,26,18,78.2,USGS_13105000
1990,2,27,0,101,USGS_13105000
1990,2,27,6,88.4,USGS_13105000
1990,2,27,12,79.2,USGS_13105000
1990,2,27,18,92,USGS_13105000
1990,2,28,0,108,USGS_13105000
1990,2,28,6,102,USGS_13105000
1990,2,28,12,92,USGS_13105000
1990,2,28,18,93.2,USGS_13105000
1990,3,1,0,101,USGS_13105000
1990,3,1,6,104,USGS_13105000
1990,3,1,12,112,USGS_13105000
1990,3,1,18,108,USGS_13105000
1990,3,2,0,119,USGS_13105000
1990,3,2,6,153,USGS_13105000
1990,3,2,12,144,USGS_13105000
1990,3,2,18,146,USGS_13105000
1990,3,3,0,180,USGS_13105000
1990,3,14,6,120,USGS_13105000
1990,3,14,12,98.3,USGS_13105000
1990,3,14,18,78.2,USGS_13105000
1990,3,26,0,173,USGS_13105000
1990,3,26,6,167,USGS_13105000
1990,3,26,12,165,USGS_13105000
1990,4,2,0,146,USGS_13105000
