year,month,day,hour,sim_flow_cfs,flow_cfs
1984,2,13,12,5798.366079325051,NA
1984,2,13,18,5411.4234045052235,NA
1984,2,14,0,5289.8477857094485,NA
1984,2,14,6,5072.759792795808,NA
1984,2,14,12,4671.91573131324,NA
1984,2,14,18,4329.003099193913,NA
1984,2,15,0,4069.433933090195,NA
1984,2,15,6,3978.9917442639507,NA
1984,2,15,12,4012.8123942258517,NA
1984,2,15,18,4008.8013962445693,NA
1984,2,16,0,3934.144492388473,NA
1984,2,16,6,3810.4986960808515,NA
1984,2,16,12,3648.192942852073,NA
1984,2,16,18,3483.302802589113,NA
1984,2,17,0,3366.586535514229,NA
1984,2,17,6,3314.9113771905,NA
1984,2,17,12,3255.7087380022863,NA
1984,2,17,18,3160.896733727206,NA
1984,2,18,0,3057.249633971755,NA
1984,2,18,6,2940.661498912939,NA
1984,2,18,12,2846.2501412198667,NA
1984,2,18,18,2852.0345120643574,NA
1984,2,19,0,3007.7745424039294,NA
1984,2,19,6,3026.00414105238,NA
1984,2,19,12,2853.7725059578493,NA
1984,2,19,18,2912.860257303195,NA
1984,2,20,0,4033.418627479252,NA
1984,2,20,6,6091.493549339135,NA
1984,2,20,12,7989.075131083945,NA
1984,2,20,18,9257.89644554905,NA
1984,2,21,0,9549.99577515362,NA
1984,2,21,6,8893.186817123657,NA
1984,2,21,12,7819.741154640234,NA
1984,2,21,18,6661.71479121945,NA
1984,2,22,0,5833.524638818503,NA
1984,2,22,6,5386.858520826903,NA
1984,2,22,12,5054.741342079658,NA
1984,2,22,18,4752.621802828371,NA
1984,2,23,0,4762.10260080761,NA
1984,2,23,6,4840.089190261655,NA
1984,2,23,12,4682.318939586201,NA
1984,2,23,18,4411.508967714,NA
1984,2,24,0,4298.706591369526,NA
1984,2,24,6,4390.555343929549,NA
1984,2,24,12,4456.654850508866,NA
1984,2,24,18,4295.889352870749,NA
1984,2,25,0,4106.719161457742,NA
1984,2,25,6,3952.7627421815546,NA
1984,2,25,12,3806.9507371020545,NA
1984,2,25,18,3669.97265937885,NA
1984,2,26,0,3565.918291070314,NA
1984,2,26,6,3527.2888017929745,NA
1984,2,26,12,3459.6445628820875,NA
1984,2,26,18,3341.6068226489806,NA
1984,2,27,0,3226.510332130621,NA
1984,2,27,6,3248.070083632231,NA
1984,2,27,12,3517.5507261820717,NA
1984,2,27,18,3685.3366327439117,NA
1984,2,28,0,3687.7850607532355,NA
1984,2,28,6,3582.2812839929234,NA
1984,2,28,12,3432.7837971322724,NA
1984,2,28,18,3302.487237074047,NA
1984,2,29,0,3252.6431169423813,NA
1984,2,29,6,3300.6188579003056,NA
1984,2,29,12,3261.7855166508266,NA
1984,2,29,18,3135.838906613145,NA
1984,3,1,0,3099.0775175092895,NA
1984,3,1,6,3270.567274188738,NA
1984,3,1,12,3461.4866887244216,NA
1984,3,1,18,3370.893196244631,NA
1984,3,2,0,3252.0863549021933,NA
1984,3,2,6,3282.1511894526516,NA
1984,3,2,12,3303.116719076992,NA
1984,3,2,18,3208.9808854685043,NA
1984,3,3,0,3093.4259785204663,NA
1984,3,3,6,3000.3041497896616,NA
1984,3,3,12,2895.9010844187655,NA
1984,3,3,18,2786.0158859805624,NA
1984,3,4,0,2705.1125399512784,NA
1984,3,4,6,2658.590568454804,NA
1984,3,4,12,2612.324217701958,NA
1984,3,4,18,2548.601676941531,NA
1984,3,5,0,2506.083560648366,NA
1984,3,5,6,2492.8699344254655,NA
1984,3,5,12,2465.078635667889,NA
1984,3,5,18,2411.80093615209,NA
1984,3,6,0,2390.6946076499157,NA
1984,3,6,6,2414.1042294876415,NA
1984,3,6,12,2413.3188100603074,NA
1984,3,6,18,2375.8766599385563,NA
1984,3,7,0,2380.257607103262,NA
1984,3,7,6,2437.7595788515437,NA
1984,3,7,12,2453.6317580943355,NA
1984,3,7,18,2406.7921691091296,NA
1984,3,8,0,2401.6935408598006,NA
1984,3,8,6,2465.2436332196057,NA
1984,3,8,12,2506.0192016195087,NA
1984,3,8,18,2454.0295953406094,NA
1984,3,9,0,2473.7328359694175,NA
1984,3,9,6,2611.916665576544,NA
1984,3,9,12,2687.962626485272,NA
1984,3,9,18,2641.82622451925,NA
1984,3,10,0,2591.6663443263687,NA
1984,3,10,6,2611.3324710722554,NA
1984,3,10,12,2906.7059920800084,NA
1984,3,10,18,3196.7427118446503,NA
1984,3,11,0,3441.287793564189,NA
1984,3,11,6,3596.157196222434,NA
1984,3,11,12,3432.42774960639,NA
1984,3,11,18,3182.7429227290468,NA
1984,3,12,0,2963.8821288367285,NA
1984,3,12,6,3391.857898920446,NA
1984,3,12,12,4379.49120055671,NA
1984,3,12,18,4849.621634846703,NA
1984,3,13,0,4729.094513910709,NA
1984,3,13,6,4402.552134006507,NA
1984,3,13,12,4022.2961350449805,NA
1984,3,13,18,3691.8735343312474,NA
1984,3,14,0,3704.178100171237,NA
1984,3,14,6,3819.378542963679,NA
1984,3,14,12,3716.7790453590715,NA
1984,3,14,18,3502.6076047007987,NA
1984,3,15,0,3518.192959412783,NA
1984,3,15,6,3676.5868655039512,NA
1984,3,15,12,3634.106159371291,NA
1984,3,15,18,3489.9489113042755,NA
1984,3,16,0,3438.1124472341235,NA
1984,3,16,6,3370.942321670613,NA
1984,3,16,12,3224.4610526298084,NA
1984,3,16,18,3100.118549852449,NA
1984,3,17,0,3058.019777928795,NA
1984,3,17,6,3079.856027666463,NA
1984,3,17,12,3233.101823080823,NA
1984,3,17,18,3446.768954409947,NA
1984,3,18,0,3556.530830388816,NA
1984,3,18,6,3468.2923808462992,NA
1984,3,18,12,3537.5766223457063,NA
1984,3,18,18,3954.07477544585,NA
1984,3,19,0,4273.56365141287,NA
1984,3,19,6,4119.49128748294,NA
1984,3,19,12,3746.0842410714417,NA
1984,3,19,18,3456.8163346985566,NA
1984,3,20,0,3495.891857840531,NA
1984,3,20,6,4448.683337152523,NA
1984,3,20,12,5634.0889590582365,NA
1984,3,20,18,6162.835732421528,NA
1984,3,21,0,7530.800634523091,NA
1984,3,21,6,8912.021633332202,NA
1984,3,21,12,8954.901398580048,NA
1984,3,21,18,8125.1188187189855,NA
1984,3,22,0,7268.1803666647975,NA
1984,3,22,6,6675.8850302629035,NA
1984,3,22,12,6313.814622778798,NA
1984,3,22,18,6106.964546506836,NA
1984,3,23,0,5953.121825365309,NA
1984,3,23,6,6370.432367596208,NA
1984,3,23,12,7040.579232208624,NA
1984,3,23,18,7044.167407080549,NA
1984,3,24,0,6464.400827585143,NA
1984,3,24,6,5775.227720493556,NA
1984,3,24,12,5505.91921393005,NA
1984,3,24,18,5512.536225509282,NA
1984,3,25,0,5454.908421975772,NA
1984,3,25,6,5337.5476231169305,NA
1984,3,25,12,5281.851265717451,NA
1984,3,25,18,5239.6408176188115,NA
1984,3,26,0,5263.2826112145085,NA
1984,3,26,6,5109.260663172145,NA
1984,3,26,12,4770.420036723624,NA
1984,3,26,18,4425.171396391477,NA
1984,3,27,0,4217.239541516281,NA
1984,3,27,6,4124.608690940034,NA
1984,3,27,12,3982.154707857425,NA
1984,3,27,18,3802.781816167496,NA
1984,3,28,0,3708.715853608416,NA
1984,3,28,6,3849.8040081586646,NA
1984,3,28,12,3954.1027923005395,NA
