year,month,day,hour,MFNW1,NFNW1,NSSW1
2000,1,2,18,348.3515877562523,474.2634317903519,744.5229198476792
2000,1,3,0,332.4467774328232,468.8896885258675,696.6416781654358
2000,1,3,6,321.3393663977623,448.6063075056076,662.1011846355439
2000,1,3,12,312.45734430150986,438.6428279549599,638.0784887479782
2000,1,3,18,314.2148347502709,432.14067909708024,637.8832868730545
2000,1,4,0,332.9083443230629,428.77519804821014,677.9336867420197
2000,1,4,6,486.6277327446938,436.8752675682068,880.8034658201218
2000,1,4,12,704.6058877193451,513.6424800073625,1333.0742877506257
2000,1,4,18,655.442092931366,569.2173563879013,1513.3065094352723
2000,1,5,0,544.2608505648614,556.5623070232392,1309.698964264679
2000,1,5,6,465.3309589679718,519.2444302947044,1129.4949653493882
2000,1,5,12,416.56861455078126,485.05948303699495,1002.2073118272782
2000,1,5,18,388.45792798309327,471.1638105759621,914.9268146945954
2000,1,6,0,365.776083069706,445.2175544595719,857.6185618305207
2000,1,6,6,350.7271501181603,435.1104014792443,815.5568686609269
2000,1,6,12,341.3670585577011,425.73741096811295,778.333595463562
2000,1,6,18,333.30420402593614,417.1064974259377,751.064270738411
2000,1,7,0,330.1353393583298,412.75567799634933,752.6015697002412
2000,1,7,6,320.17741679687504,407.30912133407594,745.5416338422775
2000,1,7,12,310.5119265818596,399.17018656845096,714.7987530481339
2000,1,7,18,304.3989690398216,396.101617136097,686.7598695165634
2000,1,8,0,305.92077578935624,390.8011587715149,682.4847598548889
2000,1,8,6,362.18471882982254,392.11038542537693,811.1875259340287
2000,1,8,12,563.1692303864479,422.24792486343387,1341.3972430553438
2000,1,8,18,697.9387804792404,464.58702966928485,1798.4346145645143
2000,1,9,0,558.2158312560082,474.7932317721367,1558.0093553714753
2000,1,9,6,469.18026854257585,449.52432212028503,1287.6741575462343
2000,1,9,12,422.33340146083833,428.709255109787,1200.2842045658113
2000,1,9,18,394.96128927497864,418.20358180751805,1140.4823790966034
2000,1,10,0,362.79255241136553,411.9172462026596,1013.2094768548966
2000,1,10,6,344.4019492676735,402.8235533362389,936.4874612611771
2000,1,10,12,329.9985700667381,392.22849670476916,880.2709378618241
2000,1,10,18,315.84512066459655,383.4605444412232,817.6186800451279
2000,1,11,0,307.5986497384072,378.7836139428139,777.3410161575317
2000,1,11,6,297.3550979324341,378.11448508653643,750.2769969240189
2000,1,11,12,287.9027603513718,370.63811182632446,718.6561118373871
2000,1,11,18,282.4331169249058,366.769436986351,688.4075673303605
2000,1,12,0,275.90917793364525,362.11123185758595,669.0692449388505
2000,1,12,6,270.28353466510777,361.99359208030705,657.3236557933808
2000,1,12,12,262.2373005828381,357.39843351984024,634.9203675928117
2000,1,12,18,255.78070219697955,354.50085096101765,614.6217974687577
2000,1,13,0,250.9750853003502,352.511448829937,592.6698715055466
2000,1,13,6,245.89060858240128,349.0837968595505,575.1161172555924
2000,1,13,12,242.36821836595536,346.09689832897186,560.3119949370384
2000,1,13,18,239.86957711310387,340.55432362918856,548.2390822887421
2000,1,14,0,237.54882687187197,336.207983469677,538.7185116161347
2000,1,14,6,235.493818589592,335.0184173164368,536.3842056891442
2000,1,14,12,245.30847186603546,332.0920731287003,558.86239536829
2000,1,14,18,270.21671607990265,335.30168905038835,629.4228550235748
2000,1,15,0,293.4022262865067,342.29446953592304,736.0720527553559
2000,1,15,6,283.7582230963707,343.660444836998,787.7856636148454
2000,1,15,12,260.2869994484425,332.9737820806503,699.2957635614396
2000,1,15,18,246.41320131759645,325.8461519906998,646.4762108163834
2000,1,16,0,240.19368429794312,318.2712011100769,621.4828267923356
2000,1,16,6,240.4099522137165,314.0633141782761,607.5933848949433
2000,1,16,12,249.30241471390727,319.3641430088043,613.4806276395798
2000,1,16,18,284.86204322242736,324.26500333232883,666.1505794998169
2000,1,17,0,334.14051406011583,331.9199074998856,743.4372525529861
2000,1,17,6,350.7296423436165,341.54979930534364,808.253839784813
2000,1,17,12,314.8425724567413,339.705316716671,762.8047407180786
2000,1,17,18,283.14948018932347,326.5693688751221,698.5815052171707
2000,1,18,0,264.74230711421967,321.20758155708313,656.739936177063
2000,1,18,6,250.37658072490694,315.1707042489052,622.7940068120956
2000,1,18,12,240.24997828240396,314.7033782971382,595.1540814258576
2000,1,18,18,236.65861404252053,314.0133012755394,573.1337876562119
2000,1,19,0,232.18208878164293,311.00363592863084,554.7730575392724
2000,1,19,6,224.42458238635064,307.2501759979248,534.1763633646965
2000,1,19,12,217.27177745141984,303.13598327178954,519.9860020828247
2000,1,19,18,214.77439915065767,297.788442053318,505.1913771639824
2000,1,20,0,213.56284079170229,297.7651026987076,488.9955826791764
2000,1,20,6,214.072332503891,295.28799898881914,491.2621606954575
2000,1,20,12,216.79183881812097,298.0027734425545,505.60444669399266
2000,1,20,18,215.79508335051537,300.26689291210175,516.7426737600326
2000,1,21,0,216.94463918156626,294.285012957573,518.7870732447625
2000,1,21,6,216.36113847694398,291.0086794868469,527.2023756062508
2000,1,21,12,221.74373924541476,294.60964216260913,548.8418303832054
2000,1,21,18,227.24667408895493,294.5065515933991,582.024162075615
2000,1,22,0,228.9150843170166,293.5004671196938,590.535112008667
2000,1,22,6,225.74793726425173,293.91599519643785,578.3398445619583
2000,1,22,12,219.92582916870117,288.5502001104355,564.2138433185578
2000,1,22,18,215.44517826433184,289.72397094287874,551.0107064258576
2000,1,23,0,209.57133965120317,289.7474786911011,535.5902298089982
2000,1,23,6,205.89837186698915,286.55325394554137,524.3456116589547
2000,1,23,12,202.872944878006,281.93974048137665,513.1234572167397
2000,1,23,18,199.51453636083605,281.4936321247101,502.333266067791
2000,1,24,0,196.98080187926294,282.16590994153023,492.004372379303
2000,1,24,6,195.7400272286415,281.76102434105877,480.88322042551044
2000,1,24,12,192.68181400341987,277.8436669078827,469.7413223787308
2000,1,24,18,189.32758164782524,274.64236963062285,458.9441597342491
2000,1,25,0,187.34148003153803,275.29619150757793,450.7493182894707
2000,1,25,6,190.18403155798913,275.08256737151146,448.36287770023347
2000,1,25,12,195.80487560858728,276.4060569643021,454.79547999639516
2000,1,25,18,206.01090931782724,275.9719887508869,471.136968634224
2000,1,26,0,225.50351393656732,279.95289793319705,501.86125877361303
2000,1,26,6,235.37840160799027,285.78514332418445,545.6611444840431
2000,1,26,12,223.7160999429703,285.05074510393143,544.1561097382546
2000,1,26,18,216.01886162137987,278.49918956031803,528.6235503333093
2000,1,27,0,212.54271229076386,275.8231119585991,520.1829552513123
2000,1,27,6,207.2755285038948,274.335859578228,512.6417504505158
2000,1,27,12,199.76119932355883,273.4187542890549,492.9082082518578
2000,1,27,18,197.27040521302223,273.3354331298828,476.0516709126473
2000,1,28,0,197.363409004879,271.3553094868183,471.29007210617067
2000,1,28,6,195.36405481133463,269.0349128721714,463.44228989553454
2000,1,28,12,190.27525037755967,267.7001240680218,449.2522990796089
2000,1,28,18,187.7782088640213,267.3623601612568,439.99132399911883
2000,1,29,0,187.7941725784302,267.3623601612568,433.46839536952973
2000,1,29,6,186.71258040914537,264.7663874007225,424.77271764421465
2000,1,29,12,183.74137616319658,262.85281291308405,418.9897442240715
2000,1,29,18,181.86774464030267,261.2283028996468,413.9980523862839
2000,1,30,0,180.78337397642136,261.88094602131844,409.2657877470017
2000,1,30,6,179.01591462583542,261.67516902756694,405.09807953100204
2000,1,30,12,177.95678616437914,263.0078697509289,400.2654859777451
2000,1,30,18,177.20642422971727,259.2589396083832,392.83373702468873
2000,1,31,0,181.12588658304216,258.23586421923636,397.00161363430027
2000,1,31,6,185.44344827427864,259.17886844592095,419.7703159727097
2000,1,31,12,185.84392196211815,259.587155597353,414.282873341465
2000,1,31,18,185.09805613689423,259.72424483680726,410.8486876989365
2000,2,1,0,199.22329960904122,259.72424483680726,419.9283365381241
2000,2,1,6,240.4045131000519,272.0916105548859,459.86759662323
2000,2,1,12,340.60150751924516,290.9211484873772,581.129924638939
2000,2,1,18,430.4826419155121,338.6639032631874,899.5971359132767
2000,2,2,0,460.05815083446504,414.5486658185005,1263.0092084228515
2000,2,2,6,503.1948351437569,480.08294662427903,1369.5926652885437
2000,2,2,12,391.21042260589604,452.72427224864964,1252.2422555923463
2000,2,2,18,325.08989627962114,394.9963488249779,1023.2004719217301
2000,2,3,0,313.37778378419875,367.8056975953102,885.5066994007111
2000,2,3,6,333.22970669202806,356.57128409814834,808.5394353506089
2000,2,3,12,307.5053933561325,345.12418946914676,749.3864641468049
2000,2,3,18,288.7565833211899,336.9464904940605,700.3205397260666
2000,2,4,0,279.29845299987795,330.2837951665878,666.7948534589768
2000,2,4,6,270.32804109673503,327.3012411911965,645.019201928711
2000,2,4,12,261.74451351695063,319.7502358821869,625.4003357797623
2000,2,4,18,251.64865974798204,316.0919520209313,601.4241165290833
2000,2,5,0,244.42070074405672,314.11167682361605,581.2287380104066
2000,2,5,6,238.64565866303445,311.33351901435856,570.7065621341706
2000,2,5,12,233.98063359298706,306.6704641495705,557.947512874794
2000,2,5,18,228.98104409480095,304.76613447122577,540.5226470953942
2000,2,6,0,228.03901655106546,302.78198622083664,528.3480247055054
2000,2,6,6,231.92296469163895,299.89494510211944,543.6187994013786
2000,2,6,12,245.5319807071209,301.0292107932091,587.12682530365
2000,2,6,18,258.71238446221355,302.0849713824272,619.6557561031342
2000,2,7,0,282.0002611454964,304.0711403561592,663.7456492919922
2000,2,7,6,309.69060357913975,311.3719464365959,714.2136189254761
2000,2,7,12,320.4773258196831,312.9012635412216,733.9508321048737
2000,2,7,18,358.85840613508225,312.06367371559145,763.8014288282395
2000,2,8,0,537.1803033288003,327.34024115171434,1005.5745104909897
2000,2,8,6,686.5196728685379,388.1933479400635,1384.1669303268434
2000,2,8,12,596.797670435524,430.6405614447594,1464.5141235977173
2000,2,8,18,660.9644603977204,432.39481873617177,1841.3118043178558
2000,2,9,0,829.6919631593705,470.80038348274235,2375.235543585968
2000,2,9,6,778.4401549411774,559.4501564312935,2077.1275241359713
2000,2,9,12,586.6565356243134,561.5270558831215,1651.2750329734804
2000,2,9,18,475.2253971377373,513.0050091501237,1385.7708458015443
2000,2,10,0,405.8316021044731,472.32707364702225,1212.02864863472
2000,2,10,6,359.5392888654709,443.0282017537117,1099.6092753973007
2000,2,10,12,352.998544191742,418.76503978834154,1010.9247123285294
2000,2,10,18,368.3393032727242,402.2684269552231,928.3139721263886
2000,2,11,0,347.09331700935365,390.026783907795,867.7892665599824
2000,2,11,6,332.65033163089754,379.3371574238777,817.8853481689454
2000,2,11,12,313.6655347882271,368.569733091259,773.6249732873918
2000,2,11,18,298.2127939553261,360.20094104537964,735.3020898042679
2000,2,12,0,286.8293184329033,355.2090471352577,703.4039614749909
2000,2,12,6,278.09080137271883,351.91621109056473,676.0853984577179
2000,2,12,12,268.1853502607346,343.6770484471321,651.7003868747712
2000,2,12,18,257.77522349386214,336.03612094936375,628.814415225029
2000,2,13,0,251.84096525278093,331.37781478443145,612.1606237945557
2000,2,13,6,247.36782470350266,329.29441533918384,599.280735279274
2000,2,13,12,240.01634898524287,324.2299437823296,582.3872860603333
2000,2,13,18,234.17442096157075,317.2546762324333,560.8324659127236
2000,2,14,0,229.48930653362277,314.92585993719103,544.1965242051125
2000,2,14,6,224.7294926994324,312.76237249011996,530.7087010721207
2000,2,14,12,221.77575087103844,309.44077481651306,520.2031961634636
2000,2,14,18,221.02269463858605,304.2995831300736,514.1720779168129
2000,2,15,0,221.3535375679016,306.2832598783493,513.9324874857903
2000,2,15,6,215.73693703632355,307.12738337612154,499.42349181146625
2000,2,15,12,206.95975680284502,299.3910440578461,481.30713450412753
2000,2,15,18,200.748474230814,293.79707562770847,472.0690609548569
2000,2,16,0,199.29205472078326,292.79338234329225,464.91071587009435
2000,2,16,6,195.77991967530252,291.4326272441864,453.0870257674217
2000,2,16,12,191.36081663608553,287.3747116631508,440.28934701347356
2000,2,16,18,188.50098792505264,283.6732853585243,428.51092111368183
2000,2,17,0,189.56619539589883,282.6630920806885,423.3803719035149
2000,2,17,6,186.14602010188105,280.3999324547291,418.2558175059319
2000,2,17,12,181.03069367423058,275.02977597417834,410.6354677075386
2000,2,17,18,177.66674500722885,272.89228850078587,400.34618019657137
2000,2,18,0,180.26116854653358,276.1871621081829,398.57727266092303
2000,2,18,6,177.21307577738762,274.942194456625,391.74611636409765
2000,2,18,12,171.94703706707955,271.86717554893494,382.15360794048314
2000,2,18,18,169.70586964683534,269.07147112531663,375.247987988472
