year,month,day,hour,flow_cfs
2004,3,1,6,210.194041379085
2004,3,1,12,206.209320215501
2004,3,1,18,199.236058179228
2004,3,2,0,199.205543049687
2004,3,2,6,192.203890243647
2004,3,2,12,186.228639769751
2004,3,2,18,182.245139453821
2004,3,3,0,183.439118016967
2004,3,3,6,181.608284667356
2004,3,3,12,191.697633815543
2004,3,3,18,198.760178219273
2004,3,4,0,216.428688574926
2004,3,4,6,250.084759245217
2004,3,4,12,279.211096667351
2004,3,4,18,274.18931435319
2004,3,5,0,248.600970901244
2004,3,5,6,228.261953058609
2004,3,5,12,251.08814836447
2004,3,5,18,251.08814836447
2004,3,6,0,234.522529511166
2004,3,6,6,215.090773774212
2004,3,6,12,204.237569592945
2004,3,6,18,197.330985113956
2004,3,7,0,212.158813541945
2004,3,7,6,368.013763760621
2004,3,7,12,1095.53230252439
2004,3,7,18,1542.25421229162
2004,3,8,0,1424.24062923491
2004,3,8,6,1183.34279756046
2004,3,8,12,1045.28613784507
2004,3,8,18,1104.45327772309
2004,3,9,0,1189.59494461957
2004,3,9,6,1116.1413806074
2004,3,9,12,1933.31631998067
2004,3,9,18,1594.487686582
2004,3,10,0,1202.51428094181
2004,3,10,6,915.718458668759
2004,3,10,12,747.916646870818
2004,3,10,18,633.811414848219
2004,3,11,0,554.592678356129
2004,3,11,6,487.218448662804
2004,3,11,12,430.359957671974
2004,3,11,18,383.304654783011
2004,3,12,0,363.641199370207
2004,3,12,6,345.839866302438
2004,3,12,12,340.913372480466
2004,3,12,18,317.266202135
2004,3,13,0,308.319918814245
2004,3,13,6,286.746433690603
2004,3,13,12,269.460301163155
2004,3,13,18,341.655325248378
2004,3,14,0,335.955960970975
2004,3,14,6,335.341083536348
2004,3,14,12,379.918146000394
2004,3,14,18,412.337827792428
2004,3,15,0,400.849924374274
2004,3,15,6,364.887934635546
2004,3,15,12,341.219528064592
2004,3,15,18,322.482039529253
2004,3,16,0,309.971071168776
2004,3,16,6,306.296541901743
2004,3,16,12,306.296541901743
2004,3,16,18,302.318664734188
2004,3,17,0,308.205431750006
2004,3,17,6,319.178127705539
2004,3,17,12,324.212483032125
2004,3,17,18,343.343033273151
2004,3,18,0,414.327280238614
2004,3,18,6,452.99535642748
2004,3,18,12,737.24743152499
2004,3,18,18,581.56166601222
2004,3,19,0,466.063811814079
2004,3,19,6,381.040238764905
2004,3,19,12,323.306869255071
2004,3,19,18,376.229124639086
2004,3,20,0,356.783722893493
2004,3,20,6,338.557602280324
2004,3,20,12,319.693688956787
2004,3,20,18,319.693688956787
2004,3,21,0,327.326316687232
2004,3,21,6,319.89864423774
2004,3,21,12,315.862068285213
2004,3,21,18,344.1180999529
2004,3,22,0,424.916058402576
2004,3,22,6,446.525069863349
2004,3,22,12,457.842525551129
2004,3,22,18,380.678054952624
2004,3,23,0,532.99264081336
2004,3,23,6,503.997263068587
2004,3,23,12,486.174177144747
2004,3,23,18,469.34126266112
2004,3,24,0,459.981953478799
2004,3,24,6,428.475463840192
2004,3,24,12,780.866499521846
2004,3,24,18,772.857612347263
2004,3,25,0,687.618895068518
2004,3,25,6,562.817893196827
2004,3,25,12,477.277349843941
2004,3,25,18,460.75247215077
2004,3,26,0,558.685674578506
2004,3,26,6,573.245251277105
2004,3,26,12,498.081975322939
2004,3,26,18,548.19082595905
2004,3,27,0,506.278220287548
2004,3,27,6,520.594874399108
2004,3,27,12,611.572619439729
2004,3,27,18,682.333087804656
2004,3,28,0,592.720616431521
2004,3,28,6,481.26441769096
2004,3,28,12,414.44903575801
2004,3,28,18,398.955613860514
2004,3,29,0,409.941248944002
2004,3,29,6,404.673183242087
2004,3,29,12,394.454163463246
