year,month,day,hour,flow_cfs
2007,9,12,0,139.988467000893
2007,9,12,6,137.437314189732
2007,9,12,12,137.437314189732
2007,9,12,18,137.437314189732
2007,9,13,0,137.523536217208
2007,9,13,6,136.358770277483
2007,9,13,12,136.358770277483
2007,9,13,18,136.358770277483
2007,9,14,0,136.440343456016
2007,9,14,6,136.52192041266
2007,9,14,12,136.52192041266
2007,9,14,18,136.52192041266
2007,9,15,0,136.544690342731
2007,9,15,6,136.567462277166
2007,9,15,12,136.567462277166
2007,9,15,18,136.567462277166
2007,9,16,0,136.16693221103
2007,9,16,6,135.766842482305
2007,9,16,12,135.766842482305
2007,9,16,18,139.503544568974
2007,9,17,0,143.894695456056
2007,9,17,6,150.835193060076
2007,9,17,12,148.321273175742
2007,9,17,18,144.55039334924
2007,9,18,0,140.963245020107
2007,9,18,6,138.654836074331
2007,9,18,12,138.654836074331
2007,9,18,18,142.368804897751
2007,9,19,0,151.874123114448
2007,9,19,6,165.232660004513
2007,9,19,12,158.973847125554
2007,9,19,18,152.715034246595
2007,9,20,0,146.70993443701
2007,9,20,6,144.451522304209
2007,9,20,12,144.451522304209
2007,9,20,18,146.963722692108
2007,9,21,0,153.828286942745
2007,9,21,6,153.157523922544
2007,9,21,12,149.42197455858
2007,9,21,18,149.42197455858
2007,9,22,0,154.518450590494
2007,9,22,6,173.62608291019
2007,9,22,12,197.705612656859
2007,9,22,18,202.774987340368
2007,9,23,0,190.161195954784
2007,9,23,6,175.191067257255
2007,9,23,12,168.934243426639
2007,9,23,18,162.677419596023
2007,9,24,0,158.874279459602
2007,9,24,6,156.324020293056
2007,9,24,12,153.822835968367
2007,9,24,18,152.572243806023
2007,9,25,0,148.075737347237
2007,9,25,6,148.582238650165
2007,9,25,12,147.32306713618
2007,9,25,18,147.32306713618
2007,9,26,0,147.759018434136
2007,9,26,6,145.691610330359
2007,9,26,12,143.201155452917
2007,9,26,18,143.201155452917
2007,9,27,0,140.285677534153
2007,9,27,6,139.861194449501
2007,9,27,12,138.623484764107
2007,9,27,18,142.336613820288
2007,9,28,0,180.324877991343
2007,9,28,6,338.751675549409
2007,9,28,12,447.205769302381
2007,9,28,18,348.124251552752
2007,9,29,0,286.811590760695
2007,9,29,6,246.810616869611
2007,9,29,12,222.12955518265
2007,9,29,18,214.725236676561
2007,9,30,0,229.509325327516
2007,9,30,6,666.034529481001
2007,9,30,12,3259.31791022617
2007,9,30,18,5964.68060250877
2007,10,1,0,5339.53956687552
2007,10,1,6,6176.44824970335
2007,10,1,12,3554.60899268642
2007,10,1,18,2584.02426773303
